State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Uttar Pradesh,GAUTAM BUDDHA NAGAR,Onion,2002-03,Summer,39.0,Hectare,436.0,Tonnes,11.17948717948718
West Bengal,PURBA BARDHAMAN,Sannhamp,2001-02,Whole Year,95.0,Hectare,732.0,Tonnes,7.705263157894737
Punjab,NAWANSHAHR,Masoor,1998-99,Rabi,400.0,Hectare,200.0,Tonnes,0.5
Madhya Pradesh,BASTAR,Cotton(lint),1999-00,Kharif,75.0,Hectare,21.0,Bales,0.28
Madhya Pradesh,DHAR,Arhar/Tur,2009-10,Whole Year,3009.0,Hectare,1653.0,Tonnes,0.5493519441674976
Karnataka,GADAG,Jowar,2006-07,Kharif,10357.0,Hectare,6858.0,Tonnes,0.6621608573911364
Odisha,NABARANGPUR,Tobacco,2001-02,Whole Year,220.0,Hectare,90.0,Tonnes,0.4090909090909091
Meghalaya,EAST JAINTIA HILLS,Tobacco,2006-07,Rabi,8.0,Hectare,2.0,Tonnes,0.25
Maharashtra,SATARA,Gram,2019-20,Rabi,28312.0,Hectare,27602.0,Tonnes,0.9749222944334558
Bihar,KHAGARIA,Garlic,2001-02,Whole Year,22.0,Hectare,32.0,Tonnes,1.4545454545454546
Odisha,MAYURBHANJ,Ragi,2002-03,Kharif,2.0,Hectare,0.1,Tonnes,0.05
Uttar Pradesh,ETAH,Bajra,2012-13,Kharif,48677.0,Hectare,136490.0,Tonnes,2.8039936725763708
Tamil Nadu,RAMANATHAPURAM,Horse-gram,2002-03,Kharif,8.0,Hectare,2.0,Tonnes,0.25
Karnataka,HAVERI,Coconut,2009-10,Whole Year,1243.0,Hectare,5598000.0,Nuts,4503.620273531778
Nagaland,KOHIMA,Moong(Green Gram),2001-02,Kharif,250.0,Hectare,200.0,Tonnes,0.8
Uttar Pradesh,GONDA,Gram,2001-02,Rabi,3925.0,Hectare,2575.0,Tonnes,0.6560509554140127
Haryana,KAITHAL,Peas & beans (Pulses),2016-17,Rabi,400.0,Hectare,600.0,Tonnes,1.5
Rajasthan,GANGANAGAR,Garlic,2015-16,Whole Year,22.0,Hectare,22.0,Tonnes,1.0
Kerala,PATHANAMTHITTA,Rice,1998-99,Winter,3165.0,Hectare,6544.0,Tonnes,2.0676145339652447
West Bengal,NADIA,Garlic,2007-08,Kharif,164.0,Hectare,1940.0,Tonnes,11.829268292682928
Kerala,ALAPPUZHA,Rice,2010-11,Winter,3869.68,Hectare,9234.539,Tonnes,2.386383111781853
Chhattisgarh,BASTAR,Other Rabi pulses,2001-02,Rabi,21.0,Hectare,7.0,Tonnes,0.3333333333333333
Karnataka,BENGALURU URBAN,Rapeseed &Mustard,2010-11,Rabi,329.0,Hectare,115.0,Tonnes,0.3495440729483283
Bihar,VAISHALI,Urad,2011-12,Kharif,153.0,Hectare,138.0,Tonnes,0.9019607843137256
Tamil Nadu,VILLUPURAM,Gram,2006-07,Whole Year,2.0,Hectare,,Tonnes,0.0
Karnataka,BENGALURU URBAN,Urad,2007-08,Kharif,33.0,Hectare,14.0,Tonnes,0.4242424242424242
Madhya Pradesh,SEONI,Coriander,2010-11,Whole Year,295.0,Hectare,75.0,Tonnes,0.2542372881355932
Bihar,PURBI CHAMPARAN,Rice,2003-04,Winter,107849.0,Hectare,150395.0,Tonnes,1.394496008307912
West Bengal,DINAJPUR UTTAR,Sugarcane,1997-98,Whole Year,449.0,Hectare,33590.0,Tonnes,74.81069042316258
West Bengal,HOWRAH,Rapeseed &Mustard,1997-98,Whole Year,1252.0,Hectare,730.0,Tonnes,0.5830670926517572
Tamil Nadu,VELLORE,Groundnut,2015-16,Kharif,31536.0,Hectare,98203.0,Tonnes,3.113996702181633
Assam,DARRANG,Masoor,2001-02,Rabi,1172.0,Hectare,820.0,Tonnes,0.6996587030716723
Mizoram,LUNGLEI,Moong(Green Gram),2001-02,Rabi,12.0,Hectare,9.0,Tonnes,0.75
Himachal Pradesh,KANGRA,Gram,1999-00,Rabi,418.0,Hectare,364.0,Tonnes,0.8708133971291866
Madhya Pradesh,UJJAIN,Groundnut,2019-20,Kharif,117.0,Hectare,156.0,Tonnes,1.3333333333333333
Assam,TINSUKIA,Moong(Green Gram),2017-18,Rabi,154.0,Hectare,87.0,Tonnes,0.564935064935065
